"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 10:00:38 BDT 2022","Thu Nov 17 10:01:59 BDT 2022","81036","Orange HRM admin login Automation Suite","Admin can login successfully","testrunners.LoginTestRunner","testrunners.LoginTestRunner","doFailedLogin","Login with invalid password",""
"passed","Thu Nov 17 10:02:05 BDT 2022","Thu Nov 17 10:02:05 BDT 2022","45","Orange HRM admin login Automation Suite","Admin can login successfully","testrunners.LoginTestRunner","testrunners.LoginTestRunner","ifProfileImageExist","Check if Profile Image exists",""
"passed","Thu Nov 17 10:02:34 BDT 2022","Thu Nov 17 10:02:37 BDT 2022","2522","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","getEmployeeStatusFullTimeProbation","Get employees with Status Full Time probation",""
"passed","Thu Nov 17 10:03:15 BDT 2022","Thu Nov 17 10:03:29 BDT 2022","13823","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","doFindLastEmployee","Search Employee with valid user ID",""
"passed","Thu Nov 17 10:02:53 BDT 2022","Thu Nov 17 10:03:09 BDT 2022","16253","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","doAddSecondEmployee","Create Second Employee",""
"passed","Thu Nov 17 10:03:09 BDT 2022","Thu Nov 17 10:03:15 BDT 2022","5998","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","doFailedAddEmployee","Create employee with existing username",""
"passed","Thu Nov 17 10:01:59 BDT 2022","Thu Nov 17 10:02:05 BDT 2022","6349","Orange HRM admin login Automation Suite","Admin can login successfully","testrunners.LoginTestRunner","testrunners.LoginTestRunner","doLogin","Login with valid username and valid password",""
"passed","Thu Nov 17 10:02:05 BDT 2022","Thu Nov 17 10:02:08 BDT 2022","2226","Orange HRM admin login Automation Suite","Admin can login successfully","testrunners.LoginTestRunner","testrunners.LoginTestRunner","doLogout","Logs Out",""
"passed","Thu Nov 17 10:04:11 BDT 2022","Thu Nov 17 10:04:14 BDT 2022","3183","Orange HRM Employee Information Update Automation Suite","Employee can login and Update own information successfully","testrunners.EmployeeTestRunner","testrunners.EmployeeTestRunner","doUpdateBloodGroup","Update employee Blood group Information",""
"passed","Thu Nov 17 10:02:28 BDT 2022","Thu Nov 17 10:02:34 BDT 2022","6298","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","getEmployeeStatusFullTimePermanent","Get employees with Status Full Time Permanent",""
"passed","Thu Nov 17 10:02:37 BDT 2022","Thu Nov 17 10:02:53 BDT 2022","16504","Orange HRM Employee Crate Automation Suite","Admin can create employee successfully","testrunners.PIMTestRunner","testrunners.PIMTestRunner","doAddFirstEmployee","Create First Employee",""
"passed","Thu Nov 17 10:04:04 BDT 2022","Thu Nov 17 10:04:11 BDT 2022","7672","Orange HRM Employee Information Update Automation Suite","Employee can login and Update own information successfully","testrunners.EmployeeTestRunner","testrunners.EmployeeTestRunner","doUpdateNationality","Update employee Nationality & Driving license expiry Information",""
